Rank,Title,Studio,Release Date,Opening Box Office,Opening Theaters,Genre,Runtime,Rating,Lifetime Gross
537,The Bourne Identity,Universal,14-Jun-02,27118640,"2,663",Action Thriller,1 hrs. 58 min.,PG-13,"$121,661,683 "
461,The Departed,Warner Bros.,6-Oct-06,26887467,"3,017",Crime Drama,2 hrs. 30 min.,R,"$132,384,315 "
492,The Curious Case of Benjamin Button,Paramount,25-Dec-08,26853816,"2,988",Fantasy Drama,2 hrs. 48 min.,PG-13,"$127,509,326 "
88,The Sixth Sense,Buena Vista,6-Aug-99,26681262,"2,821",Horror,1 hrs. 47 min.,PG-13,"$293,506,292 "
316,The Pursuit of Happyness,Sony / Columbia,15-Dec-06,26541709,"3,169",Drama,1 hrs. 56 min.,PG-13,"$163,566,459 "
279,Crazy Rich Asians,Warner Bros.,15-Aug-18,26510140,"3,865",Romantic Comedy,2 hrs. 0 min.,PG-13,"$174,532,921 "
482,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Fox,3-Nov-06,26455463,"2,611",Comedy,1 hrs. 24 min.,R,"$128,505,958 "
365,We're the Millers,Warner Bros. (New Line),7-Aug-13,26419396,"3,445",Comedy,1 hrs. 50 min.,R,"$150,394,119 "
356,Beverly Hills Cop II,Paramount,20-May-87,26348555,"2,326",Action Comedy,1 hrs. 43 min.,R,"$153,665,036 "
300,Bridesmaids,Universal,13-May-11,26247410,"2,958",Comedy,2 hrs. 5 min.,R,"$169,106,725 "
494,Anchorman 2: The Legend Continues,Paramount,18-Dec-13,26232425,"3,507",Comedy,1 hrs. 59 min.,PG-13,"$127,352,707 "
297,The Help,Buena Vista,10-Aug-11,26044590,"3,014",Drama,2 hrs. 17 min.,PG-13,"$169,708,112 "
384,True Lies,Fox,15-Jul-94,25869770,"2,561",Action Comedy,2 hrs. 24 min.,R,"$146,282,411 "
5,Avengers: Infinity War,Buena Vista,27-Apr-18,257698183,"4,474",Action / Adventure,2 hrs. 36 min.,PG-13,"$678,815,482 "
311,Robin Hood: Prince of Thieves,Warner Bros.,14-Jun-91,25625602,"2,369",Period Adventure,2 hrs. 23 min.,PG-13,"$165,493,908 "
481,The Nutty Professor (1996),Universal,28-Jun-96,25411725,"2,239",Comedy,1 hrs. 43 min.,PG-13,"$128,814,019 "
336,The Firm,Paramount,2-Jul-93,25400000,"2,393",Thriller,2 hrs. 34 min.,R,"$158,348,367 "
442,Teenage Mutant Ninja Turtles,New Line,30-Mar-90,25398367,"2,377",Family Adventure,1 hrs. 33 min.,PG,"$135,265,915 "
